month,segment_key,share,required_saos,effective_asp,effective_cw_rate,projected_pipeline,projected_bookings,projected_deals,capacity_flag,weighted_roi,in_window_factor,in_window_bookings,deferred_bookings,product,channel,period
3,EOR.Outbound,0.07,284.4867626567582,12500.0,0.24,3556084.533209477,853460.2879702745,68,0,3000.0,1.0,853460.2879702745,0.0,EOR,Outbound,3
3,EOR.Partner,0.3499999999999997,1422.4338132837895,11250.0,0.2799999999999999,16002380.399442634,4480666.5118439365,398,0,3149.9999999999995,1.0,4480666.5118439365,0.0,EOR,Partner,3
3,Payroll.Marketing,0.03,121.92289828146778,12000.0,0.25,1463074.7793776134,365768.69484440336,30,0,3000.0,1.0,365768.69484440336,0.0,Payroll,Marketing,3
3,Payroll.Outbound,0.03,121.92289828146778,15000.0,0.1,1828843.4742220168,182884.34742220168,12,0,1500.0,1.0,182884.34742220168,0.0,Payroll,Outbound,3
3,Payroll.Partner,0.03,121.92289828146778,20000.0,0.15,2438457.9656293555,365768.6948444033,18,0,3000.0,1.0,365768.6948444033,0.0,Payroll,Partner,3
4,CM.Marketing,0.03,165.31322505800472,5000.0,0.35,826566.1252900236,289298.14385150827,58,0,1750.0,1.0,289298.14385150827,0.0,CM,Marketing,4
4,CM.Outbound,0.03,165.31322505800472,7000.0,0.15,1157192.575406033,173578.88631090496,25,0,1050.0,1.0,173578.88631090496,0.0,CM,Outbound,4
4,CM.Partner,0.03,165.31322505800472,8000.0,0.2,1322505.8004640378,264501.16009280755,33,0,1600.0,1.0,264501.16009280755,0.0,CM,Partner,4
4,EOR.Marketing,0.4,2204.17633410673,7500.0,0.52,16531322.505800474,8596287.703016248,1146,0,3900.0,1.0,8596287.703016248,0.0,EOR,Marketing,4
4,EOR.Outbound,0.05,275.52204176334124,12500.0,0.24,3444025.5220417655,826566.1252900237,66,0,3000.0,1.0,826566.1252900237,0.0,EOR,Outbound,4
4,EOR.Partner,0.3699999999999998,2038.863109048724,11250.0,0.2799999999999999,22937209.976798143,6422418.793503479,571,0,3149.9999999999995,1.0,6422418.793503479,0.0,EOR,Partner,4
4,Payroll.Marketing,0.03,165.31322505800472,12000.0,0.25,1983758.7006960567,495939.6751740142,41,0,3000.0,1.0,495939.6751740142,0.0,Payroll,Marketing,4
