month,segment_key,share,required_saos,effective_asp,effective_cw_rate,projected_pipeline,projected_bookings,projected_deals,capacity_flag,weighted_roi,product,channel,period
5,Payroll.Outbound,0.03,130.32148593252285,15000.0,0.1,1954822.2889878426,195482.22889878426,13,0,1500.0,Payroll,Outbound,5
5,Payroll.Partner,0.03,130.32148593252285,20000.0,0.15,2606429.718650457,390964.4577975685,20,0,3000.0,Payroll,Partner,5
6,CM.Marketing,0.03,138.8430819990548,5000.0,0.35,694215.4099952739,242975.39349834586,49,0,1750.0,CM,Marketing,6
6,CM.Outbound,0.03,138.8430819990548,7000.0,0.15,971901.5739933836,145785.23609900754,21,0,1050.0,CM,Outbound,6
6,CM.Partner,0.03,138.8430819990548,8000.0,0.2,1110744.6559924383,222148.93119848767,28,0,1600.0,CM,Partner,6
6,EOR.Marketing,0.4,1851.2410933207307,7500.0,0.52,13884308.19990548,7219840.26395085,963,0,3900.0,EOR,Marketing,6
6,EOR.Outbound,0.10999999999999999,509.09130066320085,11486.621312169556,0.2750908699336799,5847738.984038042,1608659.6042641185,140,0,3159.8646493634715,EOR,Outbound,6
6,EOR.Partner,0.3099999999999997,1434.7118473235648,11250.0,0.27999999999999997,16140508.282390105,4519342.319069229,402,0,3149.9999999999995,EOR,Partner,6
6,Payroll.Marketing,0.03,138.8430819990548,12000.0,0.25,1666116.9839886574,416529.24599716434,35,0,3000.0,Payroll,Marketing,6
6,Payroll.Outbound,0.03,138.8430819990548,15000.0,0.1,2082646.2299858218,208264.6229985822,14,0,1500.0,Payroll,Outbound,6
6,Payroll.Partner,0.03,138.8430819990548,20000.0,0.15,2776861.6399810957,416529.24599716434,21,0,3000.0,Payroll,Partner,6
7,CM.Marketing,0.03,165.46367391782613,5000.0,0.35,827318.3695891306,289561.4293561957,58,0,1750.0,CM,Marketing,7
7,CM.Outbound,0.03,165.46367391782613,7000.0,0.15,1158245.717424783,173736.85761371744,25,0,1050.0,CM,Outbound,7
7,CM.Partner,0.03,165.46367391782613,8000.0,0.2,1323709.391342609,264741.8782685218,33,0,1600.0,CM,Partner,7
7,EOR.Marketing,0.4,2206.1823189043484,7500.0,0.52,16546367.391782613,8604111.04372696,1147,0,3900.0,EOR,Marketing,7
