sao_month,booking_month,segment_key,product,delay_months,probability,sao_bookings,realized_bookings,in_window
2,5,CM.Marketing,CM,3,0.1,198216.77509293685,19821.677509293688,True
2,2,CM.Outbound,CM,0,0.4,118930.0650557621,47572.02602230484,True
2,3,CM.Outbound,CM,1,0.35,118930.0650557621,41625.522769516734,True
2,4,CM.Outbound,CM,2,0.15,118930.0650557621,17839.509758364315,True
2,5,CM.Outbound,CM,3,0.1,118930.0650557621,11893.00650557621,True
2,2,CM.Partner,CM,0,0.4,181226.76579925657,72490.70631970263,True
2,3,CM.Partner,CM,1,0.35,181226.76579925657,63429.368029739795,True
2,4,CM.Partner,CM,2,0.15,181226.76579925657,27184.014869888484,True
2,5,CM.Partner,CM,3,0.1,181226.76579925657,18122.676579925657,True
2,2,EOR.Marketing,EOR,0,0.1,5889869.888475838,588986.9888475839,True
2,3,EOR.Marketing,EOR,1,0.3,5889869.888475838,1766960.9665427513,True
2,4,EOR.Marketing,EOR,2,0.4,5889869.888475838,2355947.9553903355,True
2,5,EOR.Marketing,EOR,3,0.2,5889869.888475838,1177973.9776951678,True
2,2,EOR.Outbound,EOR,0,0.1,906133.8289962828,90613.38289962828,True
2,3,EOR.Outbound,EOR,1,0.3,906133.8289962828,271840.1486988848,True
2,4,EOR.Outbound,EOR,2,0.4,906133.8289962828,362453.53159851313,True
2,5,EOR.Outbound,EOR,3,0.2,906133.8289962828,181226.76579925657,True
2,2,EOR.Partner,EOR,0,0.1,4043622.2118959087,404362.22118959087,True
2,3,EOR.Partner,EOR,1,0.3,4043622.2118959087,1213086.6635687726,True
2,4,EOR.Partner,EOR,2,0.4,4043622.2118959087,1617448.8847583635,True
2,5,EOR.Partner,EOR,3,0.2,4043622.2118959087,808724.4423791817,True
2,2,Payroll.Marketing,Payroll,0,0.5,339800.18587360607,169900.09293680303,True
2,3,Payroll.Marketing,Payroll,1,0.3,339800.18587360607,101940.05576208181,True
2,4,Payroll.Marketing,Payroll,2,0.2,339800.18587360607,67960.03717472122,True
2,2,Payroll.Outbound,Payroll,0,0.5,169900.09293680303,84950.04646840152,True
2,3,Payroll.Outbound,Payroll,1,0.3,169900.09293680303,50970.02788104091,True
2,4,Payroll.Outbound,Payroll,2,0.2,169900.09293680303,33980.01858736061,True
2,2,Payroll.Partner,Payroll,0,0.5,339800.18587360607,169900.09293680303,True
2,3,Payroll.Partner,Payroll,1,0.3,339800.18587360607,101940.05576208181,True
2,4,Payroll.Partner,Payroll,2,0.2,339800.18587360607,67960.03717472122,True
3,3,CM.Marketing,CM,0,0.4,213365.07199256858,85346.02879702744,True
3,4,CM.Marketing,CM,1,0.35,213365.07199256858,74677.775197399,True
3,5,CM.Marketing,CM,2,0.15,213365.07199256858,32004.760798885287,True
3,6,CM.Marketing,CM,3,0.1,213365.07199256858,21336.50719925686,True
3,3,CM.Outbound,CM,0,0.4,128019.04319554115,51207.617278216465,True
3,4,CM.Outbound,CM,1,0.35,128019.04319554115,44806.6651184394,True
3,5,CM.Outbound,CM,2,0.15,128019.04319554115,19202.85647933117,True
3,6,CM.Outbound,CM,3,0.1,128019.04319554115,12801.904319554116,True
3,3,CM.Partner,CM,0,0.4,195076.63725034846,78030.65490013939,True
3,4,CM.Partner,CM,1,0.35,195076.63725034846,68276.82303762196,True
3,5,CM.Partner,CM,2,0.15,195076.63725034846,29261.49558755227,True
3,6,CM.Partner,CM,3,0.1,195076.63725034846,19507.663725034847,True
3,3,EOR.Marketing,EOR,0,0.1,6339990.710636324,633999.0710636325,True
3,4,EOR.Marketing,EOR,1,0.3,6339990.710636324,1901997.2131908971,True
3,5,EOR.Marketing,EOR,2,0.4,6339990.710636324,2535996.28425453,True
3,6,EOR.Marketing,EOR,3,0.2,6339990.710636324,1267998.142127265,True
3,3,EOR.Outbound,EOR,0,0.1,853460.2879702745,85346.02879702745,True
3,4,EOR.Outbound,EOR,1,0.3,853460.2879702745,256038.08639108232,True
3,5,EOR.Outbound,EOR,2,0.4,853460.2879702745,341384.1151881098,True
3,6,EOR.Outbound,EOR,3,0.2,853460.2879702745,170692.0575940549,True
3,3,EOR.Partner,EOR,0,0.1,4480666.5118439365,448066.6511843937,True
3,4,EOR.Partner,EOR,1,0.3,4480666.5118439365,1344199.953553181,True
3,5,EOR.Partner,EOR,2,0.4,4480666.5118439365,1792266.6047375747,True
3,6,EOR.Partner,EOR,3,0.2,4480666.5118439365,896133.3023687874,True
3,3,Payroll.Marketing,Payroll,0,0.5,365768.6948444033,182884.34742220165,True
3,4,Payroll.Marketing,Payroll,1,0.3,365768.6948444033,109730.608453321,True
3,5,Payroll.Marketing,Payroll,2,0.2,365768.6948444033,73153.73896888066,True
3,3,Payroll.Outbound,Payroll,0,0.5,182884.34742220165,91442.17371110083,True
3,4,Payroll.Outbound,Payroll,1,0.3,182884.34742220165,54865.3042266605,True
3,5,Payroll.Outbound,Payroll,2,0.2,182884.34742220165,36576.86948444033,True
3,3,Payroll.Partner,Payroll,0,0.5,365768.6948444033,182884.34742220165,True
3,4,Payroll.Partner,Payroll,1,0.3,365768.6948444033,109730.608453321,True
3,5,Payroll.Partner,Payroll,2,0.2,365768.6948444033,73153.73896888066,True
4,4,CM.Marketing,CM,0,0.4,289298.14385150815,115719.25754060327,True
4,5,CM.Marketing,CM,1,0.35,289298.14385150815,101254.35034802785,True
4,6,CM.Marketing,CM,2,0.15,289298.14385150815,43394.721577726224,True
4,7,CM.Marketing,CM,3,0.1,289298.14385150815,28929.814385150818,True
